Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Admin Dashboard,Dashboard,System Overview,admin.dashboard.view,Main Content,Admin Dashboard,Yes,No,No,No,Main admin dashboard
Admin Dashboard,KPICard,Platform Health,admin.monitoring.view,Dashboard,System Metrics,Yes,No,No,No,Overall system health
Admin Dashboard,KPICard,Active Users,admin.users.view,Dashboard,User Metrics,Yes,No,No,No,Current active users
Admin Dashboard,KPICard,System Load,admin.monitoring.view,Dashboard,Performance Metrics,Yes,No,No,No,Server performance
Admin Dashboard,Button,View All Alerts,admin.alerts.view,Header,Quick Actions,Yes,No,No,No,System alert management
Admin Permissions,Page,Permissions Manager,admin.permissions.manage,Main Content,Permission Management,Yes,No,No,No,Full permission management
Admin Permissions,Tab,System Permissions,admin.permissions.system,Tab Panel,Permission Tabs,Yes,No,No,No,System-level permissions
Admin Permissions,Tab,Tenant Roles,admin.permissions.tenant,Tab Panel,Permission Tabs,Yes,No,No,No,Tenant-specific roles
Admin Permissions,Tab,User Assignments,admin.permissions.users,Tab Panel,Permission Tabs,Yes,No,No,No,User role assignments
Admin Permissions,Button,Create Role,admin.roles.create,Tab Content,Role Management,Yes,No,No,No,Create new roles
Admin Permissions,Button,Edit Role,admin.roles.edit,Tab Content,Role Management,Yes,No,No,No,Modify existing roles
Admin Permissions,Button,Delete Role,admin.roles.delete,Tab Content,Role Management,Yes,No,No,No,Remove roles
Admin Permissions,Button,Assign Permission,admin.permissions.assign,Tab Content,Permission Assignment,Yes,No,No,No,Assign permissions to roles
Admin Permissions,Button,Revoke Permission,admin.permissions.revoke,Tab Content,Permission Assignment,Yes,No,No,No,Remove permissions from roles
Admin Permissions,Table,Permission List,admin.permissions.view,Tab Content,Permission Display,Yes,No,No,No,List all permissions
Admin Permissions,Table,Role List,admin.roles.view,Tab Content,Role Display,Yes,No,No,No,List all roles
Admin Permissions,Modal,Permission Details,admin.permissions.details,Modal,Permission Info,Yes,No,No,No,Detailed permission view
Admin Permissions,Form,Role Form,admin.roles.form,Modal,Role Creation,Yes,No,No,No,Role creation/edit form
Admin Users,Page,User Management,admin.users.manage,Main Content,User Management,Yes,No,No,No,System user management
Admin Users,Table,User List,admin.users.view,Main Content,User Display,Yes,No,No,No,All system users
Admin Users,Button,Create User,admin.users.create,Header,User Actions,Yes,No,No,No,Create new users
Admin Users,Button,Edit User,admin.users.edit,Table Row,User Actions,Yes,No,No,No,Modify user details
Admin Users,Button,Disable User,admin.users.disable,Table Row,User Actions,Yes,No,No,No,Deactivate users
Admin Users,Button,Reset Password,admin.users.password,Table Row,User Actions,Yes,No,No,No,Password management
Admin Users,Dropdown,Bulk Actions,admin.users.bulk,Header,Bulk Operations,Yes,No,No,No,Mass user operations
Admin Users,Modal,User Details,admin.users.details,Modal,User Info,Yes,No,No,No,Detailed user view
Admin Users,Form,User Form,admin.users.form,Modal,User Creation,Yes,No,No,No,User creation/edit form
Admin Tenants,Page,Tenant Management,admin.tenants.manage,Main Content,Tenant Management,Yes,No,No,No,Client organization management
Admin Tenants,Table,Tenant List,admin.tenants.view,Main Content,Tenant Display,Yes,No,No,No,All client organizations
Admin Tenants,Button,Create Tenant,admin.tenants.create,Header,Tenant Actions,Yes,No,No,No,Create new tenants
Admin Tenants,Button,Edit Tenant,admin.tenants.edit,Table Row,Tenant Actions,Yes,No,No,No,Modify tenant details
Admin Tenants,Button,Suspend Tenant,admin.tenants.suspend,Table Row,Tenant Actions,Yes,No,No,No,Suspend tenant access
Admin Tenants,Button,View Billing,admin.billing.view,Table Row,Tenant Actions,Yes,No,No,No,Tenant billing info
Admin Tenants,Dropdown,Service Config,admin.tenants.services,Table Row,Service Management,Yes,No,No,No,Configure tenant services
Admin Tenants,Modal,Tenant Details,admin.tenants.details,Modal,Tenant Info,Yes,No,No,No,Detailed tenant view
Admin Tenants,Form,Tenant Form,admin.tenants.form,Modal,Tenant Creation,Yes,No,No,No,Tenant creation/edit form
