Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Tasks Home,Page,Tasks Dashboard,tasks.view,Main Content,Tasks Home,Yes,Yes,Yes,Yes,Main tasks overview
Tasks Home,KPICard,My Tasks,tasks.view,Dashboard,Personal Metrics,Yes,Yes,Yes,Yes,User's assigned tasks
Tasks Home,KPICard,Overdue Tasks,tasks.view,Dashboard,Overdue Metrics,Yes,Yes,Yes,Yes,Tasks past due date
Tasks Home,KPICard,Completed Today,tasks.view,Dashboard,Completion Metrics,Yes,Yes,Yes,Yes,Tasks completed today
Tasks Home,KPICard,Team Progress,tasks.team,Dashboard,Team Metrics,No,Yes,No,No,Team task progress
Tasks Home,Button,Create Task,tasks.create,Header,Quick Actions,Yes,Yes,No,No,Create new task
Tasks Home,Button,Assign Tasks,tasks.assign,Header,Quick Actions,Yes,Yes,No,No,Assign tasks to users
Tasks Home,Button,View Reports,tasks.reports,Header,Quick Actions,Yes,Yes,No,No,Task reporting
Tasks Home,Section,My Active Tasks,tasks.view,Main Content,Personal Tasks,Yes,Yes,Yes,Yes,Currently active tasks
Tasks Home,Section,Recent Activity,tasks.view,Main Content,Activity Feed,Yes,Yes,Yes,Yes,Recent task actions
Task List,Table,All Tasks,tasks.view,Main Content,Task Display,Yes,Yes,Yes,Yes,Complete task list
Task List,Button,New Task,tasks.create,Header,Action Buttons,Yes,Yes,No,No,Create new task
Task List,Button,Bulk Actions,tasks.bulk,Header,Bulk Operations,Yes,Yes,No,No,Mass task operations
Task List,Button,Filter Tasks,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter task display
Task List,Button,View Task,tasks.view,Table Row,Row Actions,Yes,Yes,Yes,Yes,View task details
Task List,Button,Edit Task,tasks.edit,Table Row,Row Actions,Yes,Yes,No,No,Edit task information
Task List,Button,Complete Task,tasks.complete,Table Row,Row Actions,Yes,Yes,Yes,Yes,Mark task as complete
Task List,Button,Assign Task,tasks.assign,Table Row,Row Actions,Yes,Yes,No,No,Assign task to user
Task List,Button,Delete Task,tasks.delete,Table Row,Row Actions,Yes,No,No,No,Remove task
Task List,Status,Task Status,tasks.view,Table Row,Status Display,Yes,Yes,Yes,Yes,Current task status
Task List,Status,Priority Level,tasks.view,Table Row,Priority Display,Yes,Yes,Yes,Yes,Task priority indicator
Task List,Filter,Status Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by task status
Task List,Filter,Assignee Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by assigned user
Task List,Filter,Priority Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by priority level
Task List,Filter,Date Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by due date
Task List,Search,Task Search,tasks.search,Header,Search Controls,Yes,Yes,Yes,Yes,Search tasks
Create Task,Page,New Task,tasks.create,Main Content,Task Creation,Yes,Yes,No,No,Create new task form
Create Task,Form,Task Details,tasks.create,Main Content,Task Form,Yes,Yes,No,No,Task information form
